total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
945152,923,9,120.36328425620036,111.11111111111111,-0.0075742733431980016,2.9757192596793174,-2.425339913368225,0.004349481436656788,0.090478515625,1.6773952782154082,20.640318298339842,0.15598906576633453,3.9861671924591064,-0.08055282384157181,0.26849108934402466,0.0,-0.15044568479061127,-0.11441709846258163,-0.07556018978357315,-2.2986416816711426,-2.2276241779327393,-2.1508333683013916,0.0,1.0
946176,924,8,126.84040709236564,130.25,-0.010168893623631447,4.062434355914593,-2.4273515582084655,0.010950756407692098,0.104443359375,1.566163459420204,28.876712787151337,-0.42857903242111206,4.88139533996582,-0.09657180309295654,0.26011157035827637,0.0,-0.1508866846561432,-0.1147458627820015,-0.07606963068246841,-2.299503803253174,-2.228276491165161,-2.151846408843994,0.0,1.0
947200,925,9,104.5063825689913,128.77777777777777,-0.007305731490487233,1.9730836421251297,-2.4273706495761873,0.007105717816739343,0.0839111328125,1.445619873702526,16.876889514923096,0.3520239591598511,3.3900792598724365,-0.080260269343853,0.25556591153144836,0.0,-0.15144656598567963,-0.11433921009302139,-0.07581046968698502,-2.300598382949829,-2.2274744510650635,-2.1513311862945557,0.0,1.0
948224,926,8,143.2167268416381,136.625,-0.0077082488220185045,5.714812272042036,-2.4249345779418947,0.004316435474902391,0.0694580078125,1.5741028428077697,47.7927161693573,3.3447680473327637,5.569155216217041,-0.10360733419656754,0.285482257604599,0.0,-0.15210501849651337,-0.11443451792001724,-0.07438348233699799,-2.3018856048583984,-2.2276558876037598,-2.1484932899475098,0.0,1.0
949248,927,8,126.8592832240073,127.0,-0.00738734130281955,4.061193025112152,-2.427630716562271,0.008093387918779626,0.083447265625,1.527703881263733,19.59174689054489,0.4550288915634155,4.201295375823975,-0.08625525236129761,0.27213531732559204,0.0,-0.15076129138469696,-0.11498948186635971,-0.07462845742702484,-2.2992587089538574,-2.2287485599517822,-2.1489803791046143,0.0,1.0
950272,928,7,103.16423862088922,128.85714285714286,-0.008715961873531342,2.9390226900577545,-2.4283020734786986,0.0054394673032220455,0.074169921875,1.366777004301548,23.43240339756012,0.7310112714767456,3.8581607341766357,-0.09267272800207138,0.26591333746910095,0.0,-0.14907748997211456,-0.11430984735488892,-0.07443311810493469,-2.2959656715393066,-2.227424383163452,-2.148591995239258,0.0,1.0
951296,929,8,124.23649946708157,128.75,-0.0067880098125897344,2.660901089012623,-2.426932656764984,0.00711624618852511,0.0643798828125,1.4434174984693526,20.184810054302215,0.4603863060474396,3.8668978214263916,-0.11382817476987839,0.2574583888053894,0.0,-0.1501452475786209,-0.11504559963941574,-0.07482166588306427,-2.2980542182922363,-2.2288782596588135,-2.149364709854126,0.0,1.0
952320,930,9,127.77903173297202,124.44444444444444,-0.0068463733652606605,5.767242527008056,-2.4323114454746246,0.006611909167259,0.0691650390625,1.41662058532238,26.856236374378206,0.3732665777206421,5.144891738891602,-0.10477039963006973,0.2791118323802948,0.0,-0.15232416987419128,-0.11585661768913269,-0.07573729753494263,-2.302313804626465,-2.2304675579071045,-2.1511855125427246,0.0,1.0
953344,931,8,119.98868249138363,117.375,-0.008699249033816159,2.316847049444914,-2.435374504327774,0.007093367062043399,0.085791015625,1.4655698537826538,23.242974960803984,-0.5032683610916138,3.8899996280670166,-0.09212151169776917,0.2754717171192169,0.0,-0.1529984325170517,-0.11596748977899551,-0.07582631707191467,-2.30363130569458,-2.2306811809539795,-2.151362657546997,0.0,1.0
954368,932,7,116.5000526176306,132.28571428571428,-0.007405787974130362,3.323672668635845,-2.4389416933059693,0.005192253683344461,0.0724609375,1.5186778172850608,25.32990965843201,0.21632246673107147,4.331035137176514,-0.09569700807332993,0.29043641686439514,0.0,-0.15358063578605652,-0.11763869971036911,-0.07751136273145676,-2.3047688007354736,-2.2339906692504883,-2.1547129154205322,0.0,1.0
