candidate,value_normalization,gamma,gae_lambda,run_seed,update,protocol_sha256,validation_seed_count,safety_priority_key,episodes,total_steps,normal_completion_count,collision_count,boundary_count,persistent_outage_count,speed_accel_violations,outage_step_ratio,rate_satisfaction_ratio,mean_e2e_rate_mbps,mean_return,mean_acceleration_mps2,action_saturation_ratio,movement_distance_m,min_link_margin_db,min_separation_m,max_xy_speed_mps,max_abs_z_speed_mps,max_xy_accel_mps2,max_abs_z_accel_mps2
V0H2,False,0.998,0.98,2027,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,7.0,13.0,0.08445592424528613,-0.8725434704712847,-6.689048164216908]",20,4027,0,1,6,13,0,0.08445592424528613,0.8725434704712847,6.689048164216908,202.73461466244922,0.3122720286250463,0.0,866.0405102306355,-2.2925586953083132,18.836192972651315,20.000000000000004,5.910734222456815,1.0580269715400366,0.6978225708007812
V0H2,False,0.998,0.98,2027,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,9.0,11.0,0.0782862631865557,-0.8878604040388047,-6.743316503468828]",20,4019,0,2,7,11,0,0.0782862631865557,0.8878604040388047,6.743316503468828,202.91330485055357,0.3841840171451507,0.0,1074.168506679858,-2.033342080526319,18.97737351217028,20.000000000000004,5.8820230757817615,0.8440903380026934,0.8225088715553284
V0H2,False,0.998,0.98,2028,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,17.0,3.0,0.027209928427725006,-0.9549306169378369,-7.1423723090966265]",20,3251,0,0,17,3,0,0.027209928427725006,0.9549306169378369,7.1423723090966265,184.63288736444966,0.3486842476560869,0.0,612.5136922711503,-22.986713932915684,22.844019443427445,20.0,6.0,1.0277077951773552,0.6862235069274902
V0H2,False,0.998,0.98,2028,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,16.0,4.0,0.044288420078115565,-0.9097718674743579,-6.938123781194717]",20,3588,0,1,15,4,0,0.044288420078115565,0.9097718674743579,6.938123781194717,195.7649920565526,0.31648661501410086,0.0,645.5244971370531,-1.7002770557995666,19.86729564442205,20.000000000000004,6.0,1.1357628590718358,0.5039900541305542
V0H2,False,0.998,0.98,2028,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,19.0,1.0,0.012839533646021672,-0.9627320576353176,-7.328947113730342]",20,3054,0,0,19,1,0,0.012839533646021672,0.9627320576353176,7.328947113730342,178.69454342219595,0.40859718758035174,0.0,612.9628121939368,-1.531168702133364,37.347600550454295,20.000000000000004,5.0,1.224992741614809,0.511874794960022
V0H2,False,0.998,0.98,2028,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,17.0,3.0,0.05166513980334975,-0.9217370335321254,-6.991994385441849]",20,3021,0,2,15,3,0,0.05166513980334975,0.9217370335321254,6.991994385441849,160.40749994232596,0.5044146931030332,0.0,780.8147179157249,-4.824589474720057,17.13507921965207,20.000000000000004,6.0,1.5669081582748325,0.5619423985481253
V1H0,True,0.99,0.95,2026,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,11.0,9.0,0.07834792716439504,-0.906745299752755,-6.7489124198450785]",20,3776,0,0,11,9,0,0.07834792716439504,0.906745299752755,6.7489124198450785,193.52730054420556,0.38710299833040873,0.0,1023.5306078950834,-12.524111151039316,37.93858905320769,20.000000000000004,6.0,0.8323572013137297,0.8872295022010812
V1H0,True,0.99,0.95,2026,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,14.0,6.0,0.05517896901272797,-0.9395001800485681,-6.954978400304978]",20,3206,0,0,14,6,0,0.05517896901272797,0.9395001800485681,6.954978400304978,171.99757832100588,0.4097118891938467,0.0,718.4569834732441,-1.1102688321293512,51.17592406106714,20.000000000000004,6.0,0.9519569695434651,0.7188148498535174
V1H0,True,0.99,0.95,2026,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,17.0,3.0,0.050475115362363744,-0.9355676016400025,-6.969786904074541]",20,3106,0,0,17,3,0,0.050475115362363744,0.9355676016400025,6.969786904074541,165.5301880113793,0.48713334195909025,0.0,797.7881978458742,-1.5117334134657225,46.51294310561996,20.000000000000004,6.0,1.065589316998123,0.721060037612915
V1H0,True,0.99,0.95,2026,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,20.0,0.0,0.022231387957154743,-0.9727583345505533,-7.23088036982481]",20,2760,0,0,20,0,0,0.022231387957154743,0.9727583345505533,7.23088036982481,157.83201031133518,0.4630004940861091,0.0,632.619282967428,-2.104927323560848,55.60632967957073,20.000000000000004,6.0,1.1047706617300972,0.8617938756942767
